Bivariate Data for Diagnosed Diabetes; Obesity; ; 2016,,,,,,
Data downloaded on 29-January-2024,,,,,,
Year,County_FIPS,County,State,Bivariate Tertile,Diagnosed Diabetes (Percentage) ,Obesity (Percentage) 
2016,56045,Weston County,Wyoming,LM,6.9,28.9
2016,02158,Kusilvak Census Area,Alaska,ML,8.3,19.3
2016,46102,Oglala Lakota County,South Dakota,HH,16.6,37
2016,54021,Gilmer County,West Virginia,HH,9.6,29
2016,54023,Grant County,West Virginia,HH,11.8,31.5
2016,54025,Greenbrier County,West Virginia,HM,11.9,28.1
2016,54027,Hampshire County,West Virginia,HH,9.6,33.6
2016,54029,Hancock County,West Virginia,HH,9.6,37.3
2016,54031,Hardy County,West Virginia,LH,7.4,29.4
2016,54033,Harrison County,West Virginia,HH,12.2,32.1
2016,54035,Jackson County,West Virginia,MH,8.1,36.4
2016,54037,Jefferson County,West Virginia,LH,7,30.5
2016,54039,Kanawha County,West Virginia,HH,12.3,35.9
2016,54041,Lewis County,West Virginia,HH,9.6,33.1
2016,54043,Lincoln County,West Virginia,HH,12.3,32.8
2016,54045,Logan County,West Virginia,HH,14,37.7
2016,54047,Mcdowell County,West Virginia,HH,11.5,40.8
2016,54049,Marion County,West Virginia,HH,9.2,31.7
2016,54051,Marshall County,West Virginia,HH,9.6,37.3
2016,54053,Mason County,West Virginia,HH,10.7,37.3
2016,54055,Mercer County,West Virginia,HH,9.1,35
2016,54057,Mineral County,West Virginia,HH,10.6,29.7
2016,54059,Mingo County,West Virginia,HH,13.8,32.3
2016,54061,Monongalia County,West Virginia,HM,10.3,28.9
2016,54063,Monroe County,West Virginia,HM,12,25.8
2016,55137,Waushara County,Wisconsin,MM,7.8,26.7
2016,55139,Winnebago County,Wisconsin,MH,7.8,36.7
2016,55141,Wood County,Wisconsin,LM,7.3,25.2
2016,56001,Albany County,Wyoming,LL,7,23
2016,56003,Big Horn County,Wyoming,MH,8.6,30.1
2016,56005,Campbell County,Wyoming,LH,7.3,31.3
2016,56007,Carbon County,Wyoming,LM,7.3,26.4
2016,56009,Converse County,Wyoming,LM,7.2,27.9
2016,56011,Crook County,Wyoming,LL,5.8,23.3
2016,56013,Fremont County,Wyoming,MM,7.8,26.7
2016,56015,Goshen County,Wyoming,MH,8.1,29.4
2016,56017,Hot Springs County,Wyoming,MM,8.3,27.3
