Bivariate Data for Newly Diagnosed Diabetes; Physical Inactivity; ; 2018,,,,,,,
Data downloaded on 29-January-2024,,,,,,,
Year,County_FIPS,County,State,Bivariate Tertile,Newly Diagnosed Diabetes (Rate per 1,000) ,Physical Inactivity (Percentage) 
2018,56045,Weston County,Wyoming,LM,7.9,21.8,
2018,02158,Kusilvak Census Area,Alaska,MM,9.6,19.1,
2018,46102,Oglala Lakota County,South Dakota,HH,21.1,26.2,
2018,54021,Gilmer County,West Virginia,HL,22.6,14.5,
2018,54023,Grant County,West Virginia,HM,14.4,21.2,
2018,54025,Greenbrier County,West Virginia,MM,10,19.4,
2018,54027,Hampshire County,West Virginia,LM,7.3,21.5,
2018,54029,Hancock County,West Virginia,MM,10.4,20,
2018,54031,Hardy County,West Virginia,HM,14.5,19.8,
2018,54033,Harrison County,West Virginia,HH,11.7,22.7,
2018,54035,Jackson County,West Virginia,HM,16.6,20.8,
2018,54037,Jefferson County,West Virginia,MM,9.1,18.8,
2018,54039,Kanawha County,West Virginia,HH,12.4,24.8,
2018,54041,Lewis County,West Virginia,MH,11.3,27.5,
2018,54043,Lincoln County,West Virginia,HH,13.7,30.2,
2018,54045,Logan County,West Virginia,HH,23.7,33,
2018,54047,Mcdowell County,West Virginia,HH,18.9,27.6,
2018,54049,Marion County,West Virginia,MH,10.7,25,
2018,54051,Marshall County,West Virginia,HH,15.4,23.8,
2018,54053,Mason County,West Virginia,HH,17.1,29.5,
2018,54055,Mercer County,West Virginia,HH,13.2,29,
2018,54057,Mineral County,West Virginia,HM,12.9,22.4,
2018,54059,Mingo County,West Virginia,HH,21.8,39.6,
2018,54061,Monongalia County,West Virginia,MM,9.2,19,
2018,54063,Monroe County,West Virginia,HH,16.1,23.8,
2018,55137,Waushara County,Wisconsin,MM,8.8,18.9,
2018,55139,Winnebago County,Wisconsin,LL,6.9,17.9,
2018,55141,Wood County,Wisconsin,LL,6.6,15.1,
2018,56001,Albany County,Wyoming,LL,5,15.5,
2018,56003,Big Horn County,Wyoming,HM,11.6,21.8,
2018,56005,Campbell County,Wyoming,LH,7.1,23.8,
2018,56007,Carbon County,Wyoming,LH,5.8,27,
2018,56009,Converse County,Wyoming,MM,10,21,
2018,56011,Crook County,Wyoming,LM,5.8,22.6,
2018,56013,Fremont County,Wyoming,LH,6.4,23.2,
2018,56015,Goshen County,Wyoming,LH,6.7,26.4,
2018,56017,Hot Springs County,Wyoming,MM,8.5,19.1,
2018,56019,Johnson County,Wyoming,LL,4.3,16.7,
2018,56021,Laramie County,Wyoming,LM,7.7,21,
2018,56023,Lincoln County,Wyoming,LM,6.9,18.6,
2018,56025,Natrona County,Wyoming,LM,6.4,21.8,
2018,56027,Niobrara County,Wyoming,LL,6.6,17.3,
2018,56029,Park County,Wyoming,LM,6.2,21.8,
2018,56031,Platte County,Wyoming,MM,8.3,18.5,
2018,56033,Sheridan County,Wyoming,LM,5.9,19.5,
2018,56035,Sublette County,Wyoming,LL,5.1,16.7,
2018,56037,Sweetwater County,Wyoming,LH,7,23.2,
2018,56039,Teton County,Wyoming,LL,1.6,10.7,
2018,56041,Uinta County,Wyoming,LH,7.6,23.1,
2018,56043,Washakie County,Wyoming,MM,11.4,20.2,
2018,48409,San Patricio County,Texas,HM,11.7,18.9,
