Year,County_FIPS,County,State,Bivariate Tertile,Newly Diagnosed Diabetes (Rate per 1,000) 
2010,56045,Weston County,Wyoming,LM,7.4,20.6
2010,54021,Gilmer County,West Virginia,HM,11.5,20.8
2010,54023,Grant County,West Virginia,HL,14.1,19.6
2010,54025,Greenbrier County,West Virginia,MH,10.5,27.3
2010,54027,Hampshire County,West Virginia,LH,8.7,25.3
2010,54029,Hancock County,West Virginia,HH,12.2,23.4
2010,54031,Hardy County,West Virginia,MM,10.7,20.3
2010,54033,Harrison County,West Virginia,HH,11.6,29
2010,54035,Jackson County,West Virginia,HM,11.3,22.1
2010,54037,Jefferson County,West Virginia,HM,11.8,22.6
2010,54039,Kanawha County,West Virginia,HH,11.7,29.4
2010,54041,Lewis County,West Virginia,MH,10.7,25.7
2010,54043,Lincoln County,West Virginia,HH,12.2,30.7
2010,54045,Logan County,West Virginia,HH,14.4,38
2010,54047,Mcdowell County,West Virginia,HH,16.1,34.5
2010,54049,Marion County,West Virginia,HH,11.9,29.8
2010,54051,Marshall County,West Virginia,MH,10.6,29.3
2010,54053,Mason County,West Virginia,MH,10.4,27.5
2010,54055,Mercer County,West Virginia,HH,13,30.7
2010,54057,Mineral County,West Virginia,MH,9.9,25.2
2010,54059,Mingo County,West Virginia,HH,13,34.4
2010,54061,Monongalia County,West Virginia,MH,10.5,23.8
2010,54063,Monroe County,West Virginia,HH,12.6,23.8
2010,55137,Waushara County,Wisconsin,LM,6.9,22
2010,55139,Winnebago County,Wisconsin,LM,8.4,19.9
2010,55141,Wood County,Wisconsin,LL,7.7,17.3
2010,56001,Albany County,Wyoming,LL,6.2,17.7
2010,56003,Big Horn County,Wyoming,LM,7.9,21.7
2010,56005,Campbell County,Wyoming,LH,8.4,26
2010,56007,Carbon County,Wyoming,LH,8,31.2
2010,56009,Converse County,Wyoming,LM,7.4,21.8
2010,56011,Crook County,Wyoming,LL,6.1,18.4
2010,56013,Fremont County,Wyoming,MM,8.9,23.2
2010,56015,Goshen County,Wyoming,LM,7.4,23
2010,56017,Hot Springs County,Wyoming,LL,7.8,19.6
2010,56019,Johnson County,Wyoming,LL,7.6,18.2
2010,56021,Laramie County,Wyoming,LM,8.2,22.9
