Year,County_FIPS,County,State,Newly Diagnosed Diabetes Rate per 1000,Overall SVI
2010,08107,Routt County,Colorado,3.3,0.0264
2010,49043,Summit County,Utah,3.9,0.1082
2010,35049,Santa Fe County,New Mexico,4.1,0.5839
2010,56039,Teton County,Wyoming,4.1,0.0656
2010,08035,Douglas County,Colorado,4.2,0.0143
2010,08037,Eagle County,Colorado,4.2,0.234
2010,08117,Summit County,Colorado,4.3,0.0325
2010,08093,Park County,Colorado,4.4,0.0013
2010,30031,Gallatin County,Montana,4.4,0.0748
2010,08039,Elbert County,Colorado,4.5,0.0006
2010,08097,Pitkin County,Colorado,4.5,0.0341
2010,06041,Marin County,California,4.6,0.2891
2010,08109,Saguache County,Colorado,4.6,0.808
2010,08015,Chaffee County,Colorado,4.7,0.2646
2010,08019,Clear Creek County,Colorado,4.7,0.008
2010,08051,Gunnison County,Colorado,4.7,0.2181
2010,30063,Missoula County,Montana,4.7,0.255
2010,08013,Boulder County,Colorado,4.9,0.2133
2010,08069,Larimer County,Colorado,4.9,0.1643
2010,08021,Conejos County,Colorado,5,0.8523
2010,08113,San Miguel County,Colorado,5,0.0872
2010,16013,Blaine County,Idaho,5,0.2143
2010,30067,Park County,Montana,5,0.0987
2010,30081,Ravalli County,Montana,5,0.1974
2010,50007,Chittenden County,Vermont,5,0.1652
2010,08007,Archuleta County,Colorado,5.1,0.1232
2010,08059,Jefferson County,Colorado,5.1,0.1356
2010,08065,Lake County,Colorado,5.1,0.7959
2010,08079,Mineral County,Colorado,5.1,0
2010,08085,Montrose County,Colorado,5.1,0.5664
2010,08125,Yuma County,Colorado,5.1,0.4696
2010,38003,Barnes County,North Dakota,5.1,0.1901
2010,08049,Grand County,Colorado,5.2,0.036
2010,08091,Ouray County,Colorado,5.2,0.0041
2010,27171,Wright County,Minnesota,5.2,0.0751
2010,08045,Garfield County,Colorado,5.3,0.4817
2010,08053,Hinsdale County,Colorado,5.3,0.0051
2010,08057,Jackson County,Colorado,5.3,0.0318
2010,08067,La Plata County,Colorado,5.3,0.1665
2010,08111,San Juan County,Colorado,5.3,0.1579
2010,44001,Bristol County,Rhode Island,5.3,0.2006
2010,49019,Grand County,Utah,5.3,0.6307
2010,27147,Steele County,Minnesota,5.4,0.2837
2010,53055,San Juan County,Washington,5.4,0.1302
2010,08047,Gilpin County,Colorado,5.5,0.0019
2010,08115,Sedgwick County,Colorado,5.5,0.2152
2010,27037,Dakota County,Minnesota,5.5,0.134
2010,31099,Kearney County,Nebraska,5.5,0.0758
2010,34019,Hunterdon County,New Jersey,5.5,0.0519
2010,50013,Grand Isle County,Vermont,5.5,0.0029
2010,50025,Windham County,Vermont,5.5,0.2101
2010,06057,Nevada County,California,5.6,0.1843
2010,08009,Baca County,Colorado,5.6,0.2557
2010,08023,Costilla County,Colorado,5.6,0.944
2010,08033,Dolores County,Colorado,5.6,0.1837
2010,08103,Rio Blanco County,Colorado,5.6,0.2372
2010,08121,Washington County,Colorado,5.6,0.3827
2010,25001,Barnstable County,Massachusetts,5.6,0.0678
2010,30039,Granite County,Montana,5.6,0.1016
2010,30055,Mccone County,Montana,5.6,0.0038
2010,31165,Sioux County,Nebraska,5.6,0.0016
2010,56035,Sublette County,Wyoming,5.6,0.1305
2010,08014,Broomfield County,Colorado,5.7,0.0783
2010,08027,Custer County,Colorado,5.7,0.1388
2010,08061,Kiowa County,Colorado,5.7,0.0513
2010,08119,Teller County,Colorado,5.7,0.0181
2010,27011,Big Stone County,Minnesota,5.7,0.0863
2010,27045,Fillmore County,Minnesota,5.7,0.2693
2010,27081,Lincoln County,Minnesota,5.7,0.0691
2010,27091,Martin County,Minnesota,5.7,0.2178
2010,30057,Madison County,Montana,5.7,0.1121
2010,46073,Jerauld County,South Dakota,5.7,0.2235
2010,02122,Kenai Peninsula Borough,Alaska,5.8,0.2824
2010,08083,Montezuma County,Colorado,5.8,0.5931
2010,25015,Hampshire County,Massachusetts,5.8,0.2264
2010,27053,Hennepin County,Minnesota,5.8,0.3999
2010,27115,Pine County,Minnesota,5.8,0.6106
2010,30011,Carter County,Montana,5.8,0.0942
2010,30029,Flathead County,Montana,5.8,0.1245
2010,30083,Richland County,Montana,5.8,0.1197
2010,30097,Sweet Grass County,Montana,5.8,0.0379
2010,31031,Cherry County,Nebraska,5.8,0.1067
2010,31039,Cuming County,Nebraska,5.8,0.3133
2010,50001,Addison County,Vermont,5.8,0.1095
2010,04023,Santa Cruz County,Arizona,5.9,0.9535
2010,08055,Huerfano County,Colorado,5.9,0.7214
2010,25007,Dukes County,Massachusetts,5.9,0.0611
2010,27013,Blue Earth County,Minnesota,5.9,0.2423
2010,27157,Wabasha County,Minnesota,5.9,0.1006
2010,30033,Garfield County,Montana,5.9,0.0535
2010,30049,Lewis And Clark County,Montana,5.9,0.1659
2010,31023,Butler County,Nebraska,5.9,0.0818
2010,35028,Los Alamos County,New Mexico,5.9,0.0204
2010,50023,Washington County,Vermont,5.9,0.1691
2010,50027,Windsor County,Vermont,5.9,0.1022
2010,56029,Park County,Wyoming,5.9,0.0716
2010,02110,Juneau City and Borough,Alaska,6,0.4241
2010,06087,Santa Cruz County,California,6,0.5829
2010,27039,Dodge County,Minnesota,6,0.0669
2010,27041,Douglas County,Minnesota,6,0.1105
2010,27063,Jackson County,Minnesota,6,0.0831
2010,27067,Kandiyohi County,Minnesota,6,0.4572
2010,27079,Le Sueur County,Minnesota,6,0.1621
2010,27163,Washington County,Minnesota,6,0.0895
2010,31015,Boyd County,Nebraska,6,0.0194
2010,35001,Bernalillo County,New Mexico,6,0.6587
2010,46127,Union County,South Dakota,6,0.0287
2010,50003,Bennington County,Vermont,6,0.2362
2010,50017,Orange County,Vermont,6,0.0614
2010,55025,Dane County,Wisconsin,6,0.2174
2010,55133,Waukesha County,Wisconsin,6,0.0398
2010,02195,Petersburg Borough,Alaska,6.1,0.2827
2010,06097,Sonoma County,California,6.1,0.5103
2010,08005,Arapahoe County,Colorado,6.1,0.412
2010,08017,Cheyenne County,Colorado,6.1,0.2388
2010,08029,Delta County,Colorado,6.1,0.467
2010,08041,El Paso County,Colorado,6.1,0.4534
2010,08095,Phillips County,Colorado,6.1,0.4677
2010,12087,Monroe County,Florida,6.1,0.4766
2010,27051,Grant County,Minnesota,6.1,0.1347
2010,27077,Lake Of The Woods County,Minnesota,6.1,0.0837
2010,27111,Otter Tail County,Minnesota,6.1,0.3394
2010,27125,Red Lake County,Minnesota,6.1,0.2057
2010,27133,Rock County,Minnesota,6.1,0.2117
2010,27139,Scott County,Minnesota,6.1,0.0965
2010,30009,Carbon County,Montana,6.1,0.0258
2010,30021,Dawson County,Montana,6.1,0.0761
2010,30027,Fergus County,Montana,6.1,0.3145
2010,30043,Jefferson County,Montana,6.1,0.0388
2010,30051,Liberty County,Montana,6.1,0.6364
2010,30075,Powder River County,Montana,6.1,0.127
2010,31075,Grant County,Nebraska,6.1,0.0226
2010,35055,Taos County,New Mexico,6.1,0.7542
2010,44009,Washington County,Rhode Island,6.1,0.0478
2010,46039,Deuel County,South Dakota,6.1,0.1207
2010,55091,Pepin County,Wisconsin,6.1,0.1754
2010,56011,Crook County,Wyoming,6.1,0.0255
2010,02261,Valdez-Cordova Census Area,Alaska,6.2,0.4982
2010,08077,Mesa County,Colorado,6.2,0.4078
2010,08089,Otero County,Colorado,6.2,0.936
2010,09001,Fairfield County,Connecticut,6.2,0.5088
2010,27005,Becker County,Minnesota,6.2,0.2919
2010,27019,Carver County,Minnesota,6.2,0.0411
2010,27043,Faribault County,Minnesota,6.2,0.2136
2010,27055,Houston County,Minnesota,6.2,0.0891
2010,27065,Kanabec County,Minnesota,6.2,0.4406
2010,27121,Pope County,Minnesota,6.2,0.0602
2010,27149,Stevens County,Minnesota,6.2,0.2044
2010,30007,Broadwater County,Montana,6.2,0.1484
2010,30045,Judith Basin County,Montana,6.2,0.0076
2010,30071,Phillips County,Montana,6.2,0.1366
2010,30103,Treasure County,Montana,6.2,0.1137
2010,30107,Wheatland County,Montana,6.2,0.4384
2010,31113,Logan County,Nebraska,6.2,0.0245
2010,46045,Edmunds County,South Dakota,6.2,0.228
2010,46097,Miner County,South Dakota,6.2,0.0462
2010,49051,Wasatch County,Utah,6.2,0.1315
2010,55127,Walworth County,Wisconsin,6.2,0.3257
2010,56001,Albany County,Wyoming,6.2,0.1757
2010,02068,Denali Borough,Alaska,6.3,0.0188
2010,02240,Southeast Fairbanks Census Area,Alaska,6.3,0.4234
2010,06079,San Luis Obispo County,California,6.3,0.4502
2010,08071,Las Animas County,Colorado,6.3,0.8029
2010,08081,Moffat County,Colorado,6.3,0.3391
2010,08105,Rio Grande County,Colorado,6.3,0.8819
2010,09005,Litchfield County,Connecticut,6.3,0.0672
2010,27015,Brown County,Minnesota,6.3,0.2365
2010,27085,Mcleod County,Minnesota,6.3,0.1512
2010,27101,Murray County,Minnesota,6.3,0.1073
2010,27135,Roseau County,Minnesota,6.3,0.3413
2010,30099,Teton County,Montana,6.3,0.3158
2010,31059,Fillmore County,Nebraska,6.3,0.1019
2010,31101,Keith County,Nebraska,6.3,0.1273
2010,31163,Sherman County,Nebraska,6.3,0.1468
2010,34003,Bergen County,New Jersey,6.3,0.2786
2010,50015,Lamoille County,Vermont,6.3,0.1738
2010,02150,Kodiak Island Borough,Alaska,6.4,0.7517
2010,08011,Bent County,Colorado,6.4,0.8742
2010,08123,Weld County,Colorado,6.4,0.6036
2010,12085,Martin County,Florida,6.4,0.4266
2010,25021,Norfolk County,Massachusetts,6.4,0.2416
2010,27109,Olmsted County,Minnesota,6.4,0.2311
2010,27123,Ramsey County,Minnesota,6.4,0.6708
2010,27127,Redwood County,Minnesota,6.4,0.3636
2010,27143,Sibley County,Minnesota,6.4,0.2961
2010,27155,Traverse County,Minnesota,6.4,0.1726
2010,27167,Wilkin County,Minnesota,6.4,0.1404
2010,30019,Daniels County,Montana,6.4,0.0538
2010,30023,Deer Lodge County,Montana,6.4,0.504
2010,30025,Fallon County,Montana,6.4,0.0232
2010,30059,Meagher County,Montana,6.4,0.2502
2010,31009,Blaine County,Nebraska,6.4,0.0159
2010,31085,Hayes County,Nebraska,6.4,0.0557
2010,31129,Nuckolls County,Nebraska,6.4,0.056
2010,35017,Grant County,New Mexico,6.4,0.766
2010,35027,Lincoln County,New Mexico,6.4,0.3881
2010,46021,Campbell County,South Dakota,6.4,0.0083
2010,46061,Hanson County,South Dakota,6.4,0.1767
2010,46083,Lincoln County,South Dakota,6.4,0.0096
2010,49011,Davis County,Utah,6.4,0.1324
2010,49053,Washington County,Utah,6.4,0.4928
2010,50005,Caledonia County,Vermont,6.4,0.3292
2010,55035,Eau Claire County,Wisconsin,6.4,0.2302
2010,55045,Green County,Wisconsin,6.4,0.0996
2010,06061,Placer County,California,6.5,0.1977
2010,08003,Alamosa County,Colorado,6.5,0.9414
2010,08075,Logan County,Colorado,6.5,0.5326
2010,08099,Prowers County,Colorado,6.5,0.9029
2010,25011,Franklin County,Massachusetts,6.5,0.1853
2010,27001,Aitkin County,Minnesota,6.5,0.3273
2010,27031,Cook County,Minnesota,6.5,0.063
2010,27049,Goodhue County,Minnesota,6.5,0.2063
2010,27057,Hubbard County,Minnesota,6.5,0.142
2010,27075,Lake County,Minnesota,6.5,0.0433
2010,27097,Morrison County,Minnesota,6.5,0.3181
2010,27117,Pipestone County,Minnesota,6.5,0.312
2010,30065,Musselshell County,Montana,6.5,0.1589
2010,30069,Petroleum County,Montana,6.5,0.0917
2010,31027,Cedar County,Nebraska,6.5,0.0732
2010,31051,Dixon County,Nebraska,6.5,0.3438
2010,31063,Frontier County,Nebraska,6.5,0.0392
2010,31069,Garden County,Nebraska,6.5,0.0869
2010,31071,Garfield County,Nebraska,6.5,0.0471
2010,31081,Hamilton County,Nebraska,6.5,0.0137
2010,31083,Harlan County,Nebraska,6.5,0.0283
2010,31107,Knox County,Nebraska,6.5,0.3305
2010,31135,Perkins County,Nebraska,6.5,0.0299
2010,31141,Platte County,Nebraska,6.5,0.3477
2010,36021,Columbia County,New York,6.5,0.3037
2010,38071,Ramsey County,North Dakota,6.5,0.4511
2010,46003,Aurora County,South Dakota,6.5,0.2553
2010,46005,Beadle County,South Dakota,6.5,0.6409
2010,46081,Lawrence County,South Dakota,6.5,0.2095
2010,46089,Mcpherson County,South Dakota,6.5,0.447
2010,46119,Sully County,South Dakota,6.5,0.0054
2010,46125,Turner County,South Dakota,6.5,0.042
2010,49023,Juab County,Utah,6.5,0.2432
2010,51013,Arlington County,Virginia,6.5,0.148
2010,55019,Clark County,Wisconsin,6.5,0.5597
2010,55089,Ozaukee County,Wisconsin,6.5,0.0347
2010,56027,Niobrara County,Wyoming,6.5,0.0821
2010,02100,Haines Borough,Alaska,6.6,0.0382
2010,02230,Skagway Municipality,Alaska,6.6,0.0624
2010,06055,Napa County,California,6.6,0.6425
2010,06081,San Mateo County,California,6.6,0.3556
2010,06109,Tuolumne County,California,6.6,0.4957
2010,08031,Denver County,Colorado,6.6,0.6781
2010,16021,Boundary County,Idaho,6.6,0.3811
2010,27017,Carlton County,Minnesota,6.6,0.3591
2010,27033,Cottonwood County,Minnesota,6.6,0.3426
2010,27035,Crow Wing County,Minnesota,6.6,0.2041
2010,27083,Lyon County,Minnesota,6.6,0.432
2010,27103,Nicollet County,Minnesota,6.6,0.2127
2010,27119,Polk County,Minnesota,6.6,0.4594
2010,27137,St. Louis County,Minnesota,6.6,0.3537
2010,27141,Sherburne County,Minnesota,6.6,0.1242
2010,27169,Winona County,Minnesota,6.6,0.2958
2010,30095,Stillwater County,Montana,6.6,0.029
2010,31077,Greeley County,Nebraska,6.6,0.171
2010,36103,Suffolk County,New York,6.6,0.2684
2010,38023,Divide County,North Dakota,6.6,0.006
2010,38033,Golden Valley County,North Dakota,6.6,0.0739
2010,46025,Clark County,South Dakota,6.6,0.2356
2010,46029,Codington County,South Dakota,6.6,0.2146
