Newly Diagnosed Diabetes; Age; Adults Aged 18+ Years; Rate per 1000; National,,,,,,,,,
Data downloaded on 29-January-2024,,,,,,,,,
Year,18-44 - Rate per 1000,18-44 - Lower Limit,18-44 - Upper Limit,45-64 - Rate per 1000,45-64 - Lower Limit,45-64 - Upper Limit,65+ - Rate per 1000,65+ - Lower Limit,65+ - Upper Limit
2000,2.9,2.4,3.6,10.3,8.9,11.8,11.3,9.5,13.4
2001,2.9,2.4,3.4,11.4,10.1,12.8,11,9.5,12.7
2002,2.7,2.3,3.2,12.2,10.9,13.7,13,11.3,14.9
2003,2.9,2.5,3.4,12.1,10.8,13.5,13.1,11.3,15.1
2004,3.1,2.7,3.6,11.9,10.6,13.4,13.6,11.7,15.8
2005,4,3.4,4.6,11.8,10.4,13.3,11.6,9.9,13.5
2006,4.1,3.5,4.8,12.1,10.6,13.8,11.8,10.2,13.6
2007,4.2,3.5,4.9,12.8,11.1,14.6,11.7,10.1,13.6
2008,4.3,3.4,5.3,14.3,12.3,16.6,11.6,9.9,13.7
2009,4.3,3.5,5.4,13.9,12,16.1,11.8,10,14
2010,4,3.2,5,13.1,11.4,15.1,12.2,10.4,14.3
2011,3.4,2.9,4,12,10.6,13.5,11.5,9.8,13.5
2012,3.2,2.7,3.8,11.7,10.4,13.2,10.6,9,12.6
2013,3.3,2.8,3.8,11,9.8,12.4,9.8,8.3,11.6
2014,3.1,2.6,3.8,10.9,9.6,12.2,9.4,8,10.9
2015,3.2,2.7,3.9,11,9.8,12.4,8.8,7.6,10.2
2016,3.5,2.8,4.3,10.7,9.4,12.3,7.5,6.4,8.8
2017,3.9,3.2,4.7,10.2,8.8,11.8,8,6.8,9.4
2018,3.7,3,4.5,9.8,8.5,11.3,7,5.8,8.3
2019,3.3,2.7,4,8.9,7.7,10.3,7.2,5.9,8.8
2020,2.8,2.3,3.5,9,7.9,10.2,6.6,5.4,8
2021,3.3,2.6,4,9.1,8,10.4,7.7,6.4,9.3
2022,3.7,2.9,4.7,10.3,8.8,12,7.9,6.4,9.8
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.,,,,,,,,,
