#,Region,Country/Territory,2000,2011,2021,2030,2045,Type
1,Africa,Africa,"217,888.00","387,000.00","527,155.50","696,000.00","1,056,284.80",Region
2,Europe,Europe,"460,837.00","653,000.00","670,341.80","677,000.00","668,000.00",Region
3,Middle East and North Africa,Middle East and North Africa,"219,800.00","356,000.00","448,205.90","539,659.10","703,000.00",Region
4,North America and Caribbean,North America and Caribbean,"273,800.00","322,000.00","361,387.90","387,594.20","413,000.00",Region
5,South and Central America,South and Central America,"233,013.00","289,000.00","341,253.80","376,772.80","411,682.10",Region
6,South-East Asia,South-East Asia,"664,000.00","856,000.00","1,033,408.90","1,182,887.00","1,340,000.00",Region
7,Western Pacific,Western Pacific,"1,219,457.00","1,544,000.00","1,731,706.00","1,806,894.50","1,810,000.00",Region
8,Middle East and North Africa,Afghanistan,-,"13,733.00","18,579.70","25,391.10","37,406.40",Country
9,Europe,Albania,"1,887.00","2,172.40","2,103.00","2,064.30","1,880.20",Country
10,Middle East and North Africa,Algeria,-,"22,619.90","27,196.20","31,204.90","39,895.80",Country
11,Western Pacific,American Samoa,-,-,33.5,34.9,35.4,Country
12,Europe,Andorra,-,64.5,57.8,58.7,55.9,Country
13,Africa,Angola,-,"8,362.60","14,503.20","20,218.10","33,771.50",Country
14,North America and Caribbean,Anguilla,-,"8,362.60",-,-,-,Country
15,North America and Caribbean,Antigua and Barbuda,-,56.5,68.6,74,78.7,Country
16,South and Central America,Argentina,"22,831.00","26,264.80","29,757.10","32,708.80","37,062.90",Country
17,Europe,Armenia,-,"2,138.60","2,087.50","2,140.50","2,088.10",Country
18,North America and Caribbean,Aruba,41,78.1,78.8,81.4,76.6,Country
19,Western Pacific,Australia,"13,131.00","15,947.30","18,168.80","19,649.90","22,013.40",Country
20,Europe,Austria,"6,041.00","6,286.00","6,778.60","6,769.60","6,548.80",Country
21,Europe,Azerbaijan,-,"6,398.90","7,058.00","7,602.70","8,162.40",Country
22,North America and Caribbean,Bahamas,183,235.9,274.7,310.1,333.6,Country
23,Middle East and North Africa,Bahrain,381,986.2,"1,328.40","1,561.20","1,789.10",Country
24,South-East Asia,Bangladesh,"83,797.00","87,708.10","105,257.80","121,309.50","139,261.70",Country
25,North America and Caribbean,Barbados,184,199.3,208.3,212.4,197.9,Country
26,Europe,Belarus,-,"7,239.10","6,981.80","6,835.60","6,356.80",Country
27,Europe,Belgium,"7,458.00","7,768.50","8,347.70","8,530.00","8,482.80",Country
28,North America and Caribbean,Belize,116,169.7,244.3,301.9,380.8,Country
29,Africa,Benin,-,"4,133.90","5,874.40","7,780.00","11,857.30",Country
30,North America and Caribbean,Bermuda,37,45.3,44.5,43.2,38.4,Country
31,South-East Asia,Bhutan,-,443.2,509,585.4,673.3,Country
32,South and Central America,Bolivia (Plurinational State of),"4,130.00","5,337.90","6,951.20","8,212.60","10,108.30",Country
33,Europe,Bosnia and Herzegovina,-,"2,875.60","2,506.80","2,449.40","2,101.80",Country
34,Africa,Botswana,-,"1,146.90","1,361.60","1,681.50","2,215.80",Country
35,South and Central America,Brazil,"102,431.00","127,994.80","149,916.80","161,892.70","169,190.20",Country
