country,diabetesRatesByCountry_in1000s_2021,diabetesRatesByCountry_percDiabetes2021,diabetesRatesByCountry_Undiag_per1000s_2021,diabetesRatesByCountry_MortalityAttributable_2021,diabetesRatesByCountry_in1000s_2011,diabetesRatesByCountry_percDiabetes2011,diabetesRatesByCountry_Undiag_per1000s_2011,diabetesRatesByCountry_MortalityAttributable_2011
India,74194.7,9.6,39397.4,647831,61258.4,9,-,983203
China,140869.6,10.6,72839.5,1396662,90045.1,8.8,-,1133918
United States,32215.3,10.7,4026.9,669384,23721.8,9.4,-,179612
Indonesia,19465.1,10.6,14341.9,236711,7291.9,5.1,-,149872
Pakistan,32964.5,30.8,8864.9,396625,6349.2,7.9,-,65735
Nigeria,3623.5,3.6,1930.2,48375,3054.5,4.8,-,63340
Brazil,15733.6,8.8,5025.3,214175,12440,10.1,-,121082
Bangladesh,13136.3,14.2,5712.3,75617,8405.6,10.5,-,144443
Russia,7392.1,5.6,3029.2,20723,12593.2,9.7,-,217185
Ethiopia,1920,5,1105.9,26448,1377.3,3.4,-,25491
Mexico,14123.2,16.9,6710.2,184384,10293.7,15.6,-,71087
Japan,11005,6.6,5007.3,245010,10674.3,7.7,-,81446
Philippines,4303.9,7.1,2869.4,66461,4219.7,9.7,-,58798
Egypt,10930.7,20.9,6779.2,122684,7323.4,16.6,-,65003
DR Congo,1908.9,5.8,1099.5,34151,730.7,3.1,-,52949
Vietnam,3994.1,6.1,2055.9,57220,1702.7,3.2,-,27949
Iran,5450.3,9.1,1911.5,47932,4695,11.1,-,30475
Turkey,9020.9,14.5,3770,83221,3502.3,7.9,-,31931
Germany,6199.9,6.9,1345.4,151463,5022.2,5.3,-,42971
Thailand,6066.6,9.7,2411.2,62361,4014.3,7.5,-,78846
Tanzania,2884,12.3,1536.3,36334,472.9,2.8,-,6638
United Kingdom,3996.3,6.3,921.1,140775,3063.9,5.2,-,25052
France,3942.9,5.3,1098.6,87434,3237.6,5.4,-,21782
South Africa,4234,10.8,1922.2,95676,1946.6,7,-,47745
Italy,4470.3,6.4,1497.7,172943,3560.4,5.1,-,26111
Kenya,821.5,4,358.7,15285,769.3,5.1,-,13269
Myanmar,2346.6,7.1,1213.4,34506,2103.7,7.1,-,58889
Colombia,3443.6,8.3,1241.4,35562,2609.3,9.8,-,19572
South Korea,3511.8,6.8,1264.2,47522,3186.4,7.5,-,28912
Uganda,716,4.6,412.5,10416,307.9,2.8,-,1913
Sudan,3526.6,18.9,1023.8,35897,1666.6,8.6,-,24619
Spain,5141.3,10.3,1557.8,81717,2840.1,6.3,-,19518
Iraq,2011.4,10.7,946.4,21752,1089,9.1,-,13085
