Diagnosed Diabetes; 45-64 (Age); Adults Aged 18+ Years; Percentage; U.S. States
Data downloaded on 30-January-2024
Year,State,Percentage,Lower Limit, Upper Limit
2000,Median of States,8.8,8.4,9.3
2001,Median of States,9.6,8.3,10.4
2002,Median of States,9.4,8.4,10.5
2003,Median of States,9.6,8.6,11.1
2004,Median of States,9.5,8.5,10.7
2005,Median of States,9.9,9.2,11.2
2006,Median of States,10.5,9.4,11.7
2007,Median of States,11,10.1,12.4
2008,Median of States,11.3,10.1,12.7
2009,Median of States,11,10.2,12.2
2010,Median of States,11.5,10.2,12.5
2011,Median of States,12.8,11.8,13.9
2012,Median of States,12.8,11.9,14.4
2013,Median of States,13,12,14.3
2014,Median of States,13.2,12.2,14.6
2015,Median of States,12.9,11.7,14.8
2016,Median of States,13.7,12.7,14.5
2017,Median of States,13.9,13.1,14.7
2018,Median of States,14.4,13.4,15.7
2019,Median of States,13.9,13.1,15.2
2020,Median of States,13.9,12.7,15.2
2021,Median of States,14.4,12.8,16
2000,Alabama,11.4,9.2,14.1
2000,Alaska,8.3,5.2,12.8
2000,Arizona,10.7,6,18.5
2000,Arkansas,8.7,6.8,10.9
2000,California,9.3,7.2,11.9
2000,Colorado,6.9,4.8,9.7
2000,Connecticut,7.2,5.8,9
2000,Delaware,8.7,6.5,11.7
2000,District of Columbia,9.2,6.9,12.2
2000,Florida,9.7,8.1,11.6
2000,Georgia,10.6,8.8,12.8
2000,Hawaii,7.6,6.1,9.3
2000,Idaho,6.9,5.6,8.4
2000,Illinois,8.8,7,10.9
2000,Indiana,9.2,7.3,11.6
2000,Iowa,6.5,5,8.2
2000,Kansas,8.2,6.7,10.1
2000,Kentucky,10.3,8.7,12.3
2000,Louisiana,10.3,8.7,12.1
2000,Maine,8.8,6.6,11.7
2000,Maryland,9.8,7.9,12.1
2000,Massachusetts,8.6,7.3,10.1
2000,Michigan,11,8.9,13.4
2000,Minnesota,7,5.3,9.2
2000,Mississippi,9.4,7.2,12.2
