Diagnosed Diabetes; Total; Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States
Data downloaded on 29-January-2024
Year,State,Percentage,Lower Limit, Upper Limit
2000,Median of States,6,5.7,6.3
2001,Median of States,6.3,6,6.9
2002,Median of States,6.7,6.2,7.1
2003,Median of States,7,6.4,7.4
2004,Median of States,6.9,6.4,7.4
2005,Median of States,7.3,6.8,7.9
2006,Median of States,7.4,7,7.9
2007,Median of States,7.8,7.1,8.4
2008,Median of States,7.9,7.4,8.6
2009,Median of States,8,7.7,8.8
2010,Median of States,8.3,7.6,8.9
2011,Median of States,9,8.5,9.5
2012,Median of States,9,8.5,9.6
2013,Median of States,9,8.3,9.7
2014,Median of States,9.2,8.7,9.8
2015,Median of States,9.1,8.2,9.6
2016,Median of States,9.5,8.5,9.8
2017,Median of States,9.4,8.7,9.8
2018,Median of States,9.8,9.2,10.5
2019,Median of States,9.4,9.1,9.9
2020,Median of States,9.4,9,10.5
2021,Median of States,9.7,8.8,10.8
2000,Guam,No Data,No Data,No Data
2000,Virgin Islands of the U.S.,No Data,No Data,No Data
2000,Alabama,7.3,6.2,8.6
2000,Alaska,4.4,3.2,6
2000,Arizona,5.9,4.2,8.3
2000,Arkansas,5.9,5,6.9
2000,California,7.1,6,8.4
2000,Colorado,5.2,4.2,6.5
2000,Connecticut,5.2,4.5,6
2000,Delaware,6.3,5.2,7.7
2000,District of Columbia,7.4,6.2,8.9
2000,Florida,6.2,5.5,6.9
2000,Georgia,7.1,6.3,8.1
2000,Hawaii,5.1,4.5,5.9
2000,Idaho,4.8,4.1,5.5
2000,Illinois,6.2,5.3,7.1
2000,Indiana,6,5.2,7
2000,Iowa,5.6,4.9,6.5
2000,Kansas,5.7,5,6.4
2000,Kentucky,6.3,5.6,7.1
2000,Louisiana,6.8,6,7.6
2000,Maine,5.8,4.8,6.9
2000,Maryland,6.5,5.7,7.5
2000,Massachusetts,5.7,5.1,6.3
2000,Michigan,7,6.1,8.1
2000,Minnesota,4.8,4.1,5.8
2000,Mississippi,7.6,6.5,8.8
2000,Missouri,6.4,5.4,7.4
2000,Montana,4.5,3.7,5.4
2000,Nebraska,4.8,4,5.8
2000,Nevada,6.8,5.1,9
2000,New Hampshire,4.6,3.7,5.7
2000,New Jersey,5.6,4.8,6.4
2000,New Mexico,6.6,5.7,7.6
2000,New York,6.2,5.3,7.2
2000,North Carolina,6.5,5.6,7.4
2000,North Dakota,5,4,6.2
2000,Ohio,6.1,5.1,7.4
2000,Oklahoma,5.4,4.6,6.2
2000,Oregon,5.8,5,6.7
2000,Pennsylvania,6.5,5.7,7.5
2000,Rhode Island,5.8,5,6.7
2000,South Carolina,7.2,6.2,8.2
2000,South Dakota,5.4,4.8,6.2
2000,Tennessee,7,6,8.1
2000,Texas,6.5,5.7,7.3
2000,Utah,5.7,4.7,7
2000,Vermont,4.4,3.8,5.2
2000,Virginia,6.3,5,7.9
2000,Washington,5.5,4.8,6.4
2000,West Virginia,7,6.1,8.1
2000,Wisconsin,5.9,5,7
2000,Wyoming,5,4.1,6
2000,Puerto Rico,9.3,8.3,10.4
2001,Alabama,9.4,8.4,10.6
2001,Alaska,4.9,3.9,6.3
2001,Arizona,6.1,5.1,7.2
2001,Arkansas,7.3,6.3,8.4
2001,California,6.6,5.8,7.6
2001,Colorado,5,4,6.2
2001,Connecticut,6,5.4,6.7
2001,Delaware,6.9,6,8
2001,District of Columbia,8.5,7.2,10.1
2001,Florida,7.2,6.4,8.1
2001,Georgia,7,6.2,7.9
2001,Hawaii,6,5,7.2
2001,Idaho,5.4,4.7,6.1
2001,Illinois,6.5,5.7,7.4
2001,Indiana,6.4,5.6,7.2
2001,Iowa,5.3,4.6,6
2001,Kansas,5.6,4.9,6.3
2001,Kentucky,6.5,5.9,7.2
2001,Louisiana,7.6,6.9,8.4
2001,Maine,6.4,5.4,7.6
2001,Maryland,7,6.1,8.1
2001,Massachusetts,5.4,4.9,6
2001,Michigan,7.2,6.3,8.1
2001,Minnesota,4.3,3.7,5
2001,Mississippi,9.2,8.1,10.4
2001,Missouri,6.2,5.4,7.2
2001,Montana,5.3,4.4,6.2
