Year,State,18-44 percentage,45-64 percentage,65-74 percentage,75+ percentage
2000.0,Median of States,1.8,8.8,14.6,12.7
2001.0,Median of States,2.0,9.6,15.4,14.1
2002.0,Median of States,2.1,9.4,16.0,15.9
2003.0,Median of States,2.2,9.6,17.3,15.5
2004.0,Median of States,2.2,9.5,17.2,15.5
2005.0,Median of States,2.3,9.9,18.5,16.0
2006.0,Median of States,2.3,10.5,18.7,16.9
2007.0,Median of States,2.5,11.0,19.8,17.9
2008.0,Median of States,2.6,11.3,20.0,18.4
2009.0,Median of States,2.8,11.0,19.9,18.7
2010.0,Median of States,2.7,11.5,20.6,18.7
2011.0,Median of States,2.9,12.8,21.7,19.8
2012.0,Median of States,3.0,12.8,21.5,20.0
2013.0,Median of States,2.8,13.0,21.8,20.5
2014.0,Median of States,2.8,13.2,22.3,21.6
2015.0,Median of States,2.6,12.9,22.5,21.2
2016.0,Median of States,2.7,13.7,23.1,21.3
2017.0,Median of States,2.9,13.9,21.6,21.7
2018.0,Median of States,3.1,14.4,23.0,21.9
2019.0,Median of States,2.9,13.9,22.3,22.1
2020.0,Median of States,3.2,13.9,21.6,21.9
2021.0,Median of States,3.0,14.4,20.6,21.9
2000.0,Guam,,,,
2000.0,Virgin Islands of the U.S.,,,,
2000.0,Alabama,2.3,11.4,15.4,15.5
2000.0,Alaska,1.1,8.3,,
2000.0,Arizona,1.4,10.7,13.4,
2000.0,Arkansas,2.2,8.7,12.7,12.5
2000.0,California,2.9,9.3,15.9,16.6
2000.0,Colorado,0.9,6.9,18.9,12.3
2000.0,Connecticut,1.5,7.2,15.6,10.5
2000.0,Delaware,2.2,8.7,15.4,14.9
2000.0,District of Columbia,1.7,9.2,24.4,19.7
2000.0,Florida,1.7,9.7,14.0,13.9
2000.0,Georgia,2.0,10.6,19.0,14.9
2000.0,Hawaii,1.4,7.6,14.3,10.4
2000.0,Idaho,1.4,6.9,12.8,9.7
2000.0,Illinois,1.4,8.8,15.8,16.8
2000.0,Indiana,1.2,9.2,14.8,16.0
2000.0,Iowa,2.0,6.5,18.1,12.8
2000.0,Kansas,1.6,8.2,17.2,9.9
2000.0,Kentucky,1.6,10.3,14.9,12.7
2000.0,Louisiana,2.3,10.3,14.6,14.7
2000.0,Maine,1.6,8.8,12.9,13.4
2000.0,Maryland,2.7,9.8,14.5,11.0
2000.0,Massachusetts,1.3,8.6,14.3,14.0
2000.0,Michigan,2.2,11.0,14.5,15.4
2000.0,Minnesota,0.8,7.0,16.2,10.8
2000.0,Mississippi,3.1,9.4,18.9,17.8
2000.0,Missouri,1.8,9.0,14.6,17.1
2000.0,Montana,1.0,5.4,15.6,11.6
2000.0,Nebraska,1.3,7.7,11.0,10.5
2000.0,Nevada,1.7,8.8,19.8,
2000.0,New Hampshire,0.9,7.2,9.7,13.7
2000.0,New Jersey,1.6,8.8,13.1,11.4
2000.0,New Mexico,2.1,9.8,16.6,12.9
2000.0,New York,2.1,8.4,14.5,15.8
2000.0,North Carolina,1.9,9.1,13.6,18.8
2000.0,North Dakota,1.5,6.6,15.7,10.1
2000.0,Ohio,2.0,8.7,14.1,14.7
2000.0,Oklahoma,2.5,7.3,9.8,12.0
2000.0,Oregon,2.3,9.5,10.9,9.4
2000.0,Pennsylvania,1.9,9.1,18.3,14.5
2000.0,Rhode Island,1.9,8.8,13.2,12.2
2000.0,South Carolina,1.9,11.8,15.5,15.5
2000.0,South Dakota,2.0,7.6,12.9,11.7
2000.0,Tennessee,2.2,12.2,15.0,10.0
2000.0,Texas,1.9,11.6,12.9,10.2
2000.0,Utah,1.6,8.2,16.7,11.4
2000.0,Vermont,1.2,6.2,12.8,9.9
2000.0,Virginia,1.8,9.8,16.5,11.3
2000.0,Washington,2.4,7.2,11.9,12.7
2000.0,West Virginia,1.9,13.0,13.8,10.9
2000.0,Wisconsin,1.6,9.5,13.9,12.7
2000.0,Wyoming,1.8,6.9,10.9,12.0
2000.0,Puerto Rico,2.4,13.1,25.8,21.9
2001.0,Alabama,3.2,13.3,20.7,23.8
2001.0,Alaska,1.0,6.8,16.2,
2001.0,Arizona,2.1,8.7,11.3,16.7
2001.0,Arkansas,2.7,11.2,16.2,13.1
2001.0,California,2.0,11.2,13.9,12.3
2001.0,Colorado,1.3,6.3,10.8,17.9
2001.0,Connecticut,2.0,8.5,15.3,13.1
2001.0,Delaware,2.9,9.9,15.1,13.4
2001.0,District of Columbia,2.5,11.4,25.9,18.3
2001.0,Florida,2.6,10.7,17.3,13.0
2001.0,Georgia,2.0,11.2,18.7,11.6
2001.0,Hawaii,2.1,7.9,17.6,12.1
2001.0,Idaho,2.0,7.0,11.6,14.3
2001.0,Illinois,1.4,10.0,16.3,16.5
2001.0,Indiana,2.4,9.4,14.3,12.3
2001.0,Iowa,1.9,6.3,13.2,14.8
2001.0,Kansas,1.8,7.5,15.2,12.8
2001.0,Kentucky,2.6,9.9,12.9,12.6
2001.0,Louisiana,2.6,11.4,20.1,12.9
2001.0,Maine,1.8,9.1,16.8,15.0
2001.0,Maryland,2.2,10.4,13.6,18.7
2001.0,Massachusetts,1.5,7.1,17.1,11.9
2001.0,Michigan,2.4,10.5,17.0,15.0
2001.0,Minnesota,1.3,5.2,12.3,11.9
2001.0,Mississippi,3.9,13.2,20.6,16.7
