YEAR,STATE,RATE,DEATHS,STATE
2021,AL,26.3,1652,alabama
2021,AK,27,184,alaska
2021,AZ,27.3,2559,arizona
2021,AR,39.3,1466,arkansas
2021,CA,25.5,11440,california
2021,CO,19,1204,colorado
2021,CT,15.9,770,connecticut
2021,DE,23.9,334,delaware
2021,FL,24.8,8039,florida
2021,GA,25.1,2943,georgia
2021,HI,17.7,355,hawaii
2021,ID,24.4,541,idaho
2021,IL,21.8,3387,illinois
2021,IN,31.3,2539,indiana
2021,IA,25,1025,iowa
2021,KS,25.6,917,kansas
2021,KY,32.5,1765,kentucky
2021,LA,35.7,1943,louisiana
2021,ME,27,555,maine
2021,MD,23.2,1734,maryland
2021,MA,17.3,1537,massachusetts
2021,MI,26.7,3440,michigan
2021,MN,22.6,1575,minnesota
2021,MS,42.1,1485,mississippi
2021,MO,24,1876,missouri
2021,MT,21.6,314,montana
2021,NE,24.6,583,nebraska
2021,NV,23.5,869,nevada
2021,NH,20.8,393,new hampshire
2021,NJ,17.6,2073,new jersey
2021,NM,31,817,new mexico
2021,NY,18.8,4841,new york
2021,NC,30.4,3931,north carolina
2021,ND,25.2,228,north dakota
2021,OH,29.5,4461,ohio
2021,OK,35.1,1619,oklahoma
2021,OR,25.9,1434,oregon
2021,PA,23.5,4176,pennsylvania
2021,RI,19.5,289,rhode island
2021,SC,26.3,1753,south carolina
2021,SD,28.9,306,south dakota
2021,TN,31.4,2681,tennessee
2021,TX,27.5,8136,texas
2021,UT,29.2,837,utah
2021,VT,17.9,158,vermont
2021,VA,25.8,2667,virginia
2021,WA,24.8,2237,washington
2021,WV,47.6,1204,westvirginia
2021,WI,22.6,1686,wisconsin
2021,WY,23.9,172,wyoming
2020,AL,23.6,1450,alabama
2020,AK,24.8,174,alaska
2020,AZ,26.5,2566,arizona
2020,AR,33.8,1306,arkansas
2020,CA,25.4,11642,california
2020,CO,18,1168,colorado
2020,CT,17.5,861,connecticut
2020,DE,23.8,326,delaware
2020,FL,22.8,7528,florida
2020,GA,23.9,2833,georgia
2020,HI,17,339,hawaii
2020,ID,22.7,488,idaho
2020,IL,22.2,3485,illinois
2020,IN,29.6,2446,indiana
2020,IA,24.7,1047,iowa
2020,KS,28.5,1041,kansas
2020,KY,27.7,1549,kentucky
2020,LA,33.1,1843,louisiana
2020,ME,23.9,501,maine
2020,MD,23.9,1784,maryland
2020,MA,17.2,1557,massachusetts
2020,MI,26,3399,michigan
2020,MN,21,1493,minnesota
2020,MS,41,1460,mississippi
2020,MO,23.1,1844,missouri
2020,MT,23.5,342,montana
2020,NE,26.2,624,nebraska
2020,NV,24.2,904,nevada
2020,NH,19.2,364,new hampshire
2020,NJ,21.2,2443,new jersey
2020,NM,29.3,793,new mexico
2020,NY,21.2,5410,new york
2020,NC,26.9,3554,north carolina
2020,ND,24.3,225,north dakota
2020,OH,28.3,4382,ohio
2020,OK,32.8,1552,oklahoma
2020,OR,24.5,1364,oregon
2020,PA,23.6,4250,pennsylvania
2020,RI,23.2,331,rhode island
2020,SC,28.5,1943,south carolina
2020,SD,29.2,329,south dakota
2020,TN,30.1,2590,tennessee
2020,TX,26.7,7990,texas
2020,UT,27.3,778,utah
2020,VT,17.5,153,vermont
2020,VA,24.7,2585,virginia
2020,WA,22.7,2072,washington
2020,WV,41.3,1075,westvirginia
2020,WI,22,1684,wisconsin
2020,WY,20.7,148,wyoming
2019,AL,19.8,1224,alabama
2019,AK,16.2,111,alaska
2019,AZ,23.4,2173,arizona
2019,AR,29.8,1144,arkansas
2019,CA,21.8,9854,california
2019,CO,16.4,1046,colorado
2019,CT,15.6,761,connecticut
2019,DE,20.5,267,delaware
2019,FL,19.3,6174,florida
2019,GA,20.5,2375,georgia
2019,HI,15.8,311,hawaii
2019,ID,20.2,422,idaho
2019,IL,18.1,2825,illinois
2019,IN,25,2045,indiana
2019,IA,20.2,861,iowa
2019,KS,24.4,884,kansas
2019,KY,29.1,1611,kentucky
2019,LA,26.5,1458,louisiana
2019,ME,23.6,477,maine
