Year,State,Rate,Deaths,Percentage,Lower Limit, Upper Limit,Diagnosed Diabetes (Percentage) ,Obesity (Percentage) ,Newly Diagnosed Diabetes (Rate per 1000),Newly Diagnosed Physical Inactivity (Percentage) ,18-44 percentage,45-64 percentage,65-74 percentage,75+ percentage
2014,Alabama,22.8,"1,281",14.9,12.6,17.7,10.544776119402986,30.029850746268657,12.3,24.64029850746269,4.8,17.8,24.3,21.0
2014,Alaska,19.4,113,9.2,6.3,13.3,7.962962962962963,26.18888888888889,7.3,19.02962962962963,1.8,10.3,21.3,21.0
2014,Arizona,24.3,"1,936",14,11.7,16.6,8.94,28.36,8.3,20.793333333333333,2.8,14.0,21.8,18.7
2014,Arkansas,24.0,828,14.6,11.2,18.8,8.906666666666666,27.588,11.5,23.976,3.9,17.9,24.7,22.8
2014,California,20.4,"8,249",15.3,13.2,17.8,7.841379310344828,23.55862068965517,7.0,17.65344827586207,2.9,15.4,21.5,22.5
2014,Colorado,15.5,835,13.9,11.5,16.8,6.696875,21.3,4.9,16.415625,2.2,9.9,16.3,17.0
2014,Connecticut,14.9,685,15.3,12.6,18.5,7.3375,25.65,5.5,19.0375,2.1,11.5,20.9,20.0
2014,Delaware,19.8,226,12.4,9.5,16,10.066666666666666,30.73333333333333,10.0,24.2,3.5,13.3,25.8,20.5
2014,Florida,19.2,"5,371",14.5,12.1,17.4,9.170149253731344,27.39253731343284,9.0,23.1089552238806,2.9,13.9,22.7,20.9
2014,Georgia,22.3,"2,230",14.6,12,17.7,8.779874213836479,24.206289308176103,10.8,19.81572327044025,2.8,17.3,26.7,24.6
2014,Hawaii,15.4,276,12.3,8.2,18,7.68,21.18,6.6,17.56,3.7,12.8,18.4,18.4
2014,Idaho,22.9,409,10.2,7.2,14.3,7.413636363636363,25.48409090909091,6.6,18.16590909090909,2.0,10.0,16.9,18.4
2014,Illinois,18.7,"2,712",15,11.5,19.4,7.562745098039215,23.352941176470587,7.7,18.068627450980397,2.4,13.6,23.5,23.8
2014,Indiana,24.4,"1,819",14.3,12.2,16.7,8.670652173913044,28.006521739130434,9.0,22.710869565217397,3.1,14.3,22.3,23.0
2014,Iowa,25.6,"1,019",12.2,9.3,15.9,7.66060606060606,27.043434343434345,7.3,20.28080808080808,2.6,11.6,22.1,19.0
2014,Kansas,19.2,643,14.3,12.1,16.8,7.968571428571429,27.025714285714283,7.9,21.17619047619048,3.0,13.8,22.3,21.8
2014,Kentucky,23.4,"1,175",16.3,12.8,20.4,9.085,27.965,10.2,23.524166666666662,4.5,16.2,25.6,22.9
2014,Louisiana,24.8,"1,238",13.6,11.5,16,9.609375,29.3765625,11.3,25.178125,3.0,15.3,27.1,23.0
2014,Maine,22.4,414,10.4,8,13.4,7.88125,27.66875,7.8,19.25,2.3,11.6,19.3,17.2
2014,Maryland,19.8,"1,305",12.2,9.4,15.6,9.354166666666666,30.008333333333336,7.9,21.9125,2.5,13.2,24.4,21.1
2014,Massachusetts,14.5,"1,202",16.8,13.5,20.7,7.992857142857143,23.15714285714285,7.0,18.335714285714285,3.4,11.7,22.4,19.0
2014,Michigan,23.7,"2,844",12.8,10.2,16,8.110843373493976,27.220481927710846,7.8,19.563855421686743,2.0,13.1,25.1,21.8
2014,Minnesota,18.7,"1,193",12.7,10.3,15.6,7.308045977011494,26.368965517241374,5.6,18.986206896551725,2.4,9.2,18.3,22.7
2014,Mississippi,30.4,"1,015",17.2,13.8,21.3,10.17439024390244,28.39390243902439,12.9,25.803658536585367,3.9,17.9,27.7,25.2
2014,Missouri,19.4,"1,423",12.3,9.3,16.1,8.012173913043478,25.406086956521737,8.4,20.605217391304347,3.7,13.8,23.6,22.4
2014,Montana,19.2,250,13,9.8,17,7.55,24.810714285714287,6.6,19.601785714285715,2.5,11.1,16.6,18.5
2014,Nebraska,21.5,473,13.4,11,16.3,7.486021505376344,28.412903225806453,6.3,21.49247311827957,2.6,12.7,20.0,17.4
2014,Nevada,11.4,350,10.1,6.9,14.6,7.517647058823529,23.688235294117646,6.7,19.77647058823529,2.4,11.9,24.4,22.8
2014,New Hampshire,18.0,300,11.1,7.8,15.5,8.03,27.21,6.1,19.23,2.3,11.2,19.5,19.5
2014,New Jersey,19.3,"2,062",12.4,10.1,15.1,8.4,26.390476190476196,6.6,21.98095238095238,2.6,10.9,24.2,22.7
2014,New Mexico,27.5,671,15.3,13,18,8.27878787878788,25.04848484848485,6.7,21.10909090909091,3.4,15.3,24.8,22.9
2014,New York,17.4,"4,064",14.2,11.5,17.4,7.770967741935484,24.462903225806453,7.1,19.80967741935484,2.7,13.1,21.8,23.8
2014,North Carolina,23.7,"2,687",16.5,13.7,19.6,8.919,26.109,9.0,21.416,3.2,15.1,22.0,20.8
2014,North Dakota,19.9,176,9.7,6.7,13.9,7.545283018867924,27.48867924528302,7.0,21.245283018867923,2.6,11.3,20.4,17.4
2014,Ohio,25.7,"3,641",13.2,10.5,16.5,9.085227272727272,29.04090909090909,8.6,23.14659090909091,3.0,15.5,25.1,22.7
2014,Oklahoma,29.1,"1,261",13.7,11.6,16.2,9.14935064935065,28.12727272727273,9.9,24.945454545454545,2.7,18.1,25.4,22.3
2014,Oregon,22.4,"1,083",13.7,10.2,18,7.899999999999999,25.163888888888888,7.3,16.422222222222224,2.6,10.4,20.4,21.0
2014,Pennsylvania,22.0,"3,765",16.1,13.3,19.3,8.547761194029851,28.561194029850743,8.0,21.601492537313437,2.6,14.6,23.5,22.2
2014,Rhode Island,18.3,252,10.9,8.7,13.6,7.540000000000001,24.88,6.5,19.16,2.0,12.2,21.8,20.4
2014,South Carolina,21.8,"1,239",13.2,11.4,15.2,11.271739130434783,31.80434782608696,10.5,25.30217391304348,3.6,16.1,24.8,22.3
2014,South Dakota,21.3,224,10.5,7.1,15.2,7.966666666666666,25.33939393939394,8.1,19.025757575757577,3.0,11.4,19.0,19.4
2014,Texas,21.3,"5,348",15.9,13.8,18.2,7.499606299212599,21.735826771653542,9.5,17.898031496062995,3.2,16.3,27.0,22.5
2014,Utah,24.3,570,12.1,9.8,14.8,7.441379310344828,24.56206896551724,6.6,18.27586206896552,2.3,10.5,19.3,19.7
2014,Vermont,18.7,154,11,8.2,14.6,6.628571428571428,25.164285714285715,6.0,18.542857142857144,3.1,8.3,15.8,17.7
2014,Virginia,18.5,"1,683",13.6,11.1,16.4,8.384962406015038,24.157894736842103,9.4,19.81127819548872,2.3,12.6,24.3,22.5
2014,Washington,21.2,"1,668",12,9.1,15.7,8.04102564102564,27.35641025641026,6.4,17.93846153846154,2.5,12.3,18.9,18.2
2014,West Virginia,33.3,818,17.1,14.2,20.5,9.385454545454548,30.07636363636364,10.0,24.59090909090909,4.2,18.0,28.3,23.5
2014,Wisconsin,19.1,"1,352",14.3,10.8,18.6,7.597222222222222,27.641666666666666,6.4,19.24722222222222,2.3,11.0,19.3,21.2
2014,Wyoming,17.6,110,12.9,8.7,18.8,7.356521739130434,25.186956521739127,6.4,21.02173913043478,3.1,10.3,17.7,18.2
2016,Alabama,20.1,"1,183",18.7,14.8,23.3,10.695522388059702,30.847761194029854,14.7,25.13283582089552,5.3,19.8,26.5,25.9
2016,Alaska,19.3,124,Suppressed,Suppressed,Suppressed,8.24074074074074,26.52962962962963,8.5,18.54074074074074,2.7,8.5,21.9,21.9
2016,Arizona,23.9,"2,025",14.5,11.9,17.5,9.193333333333332,27.746666666666663,8.7,22.02,2.7,16.0,21.5,19.7
2016,Arkansas,25.4,920,15.5,11,21.4,9.198666666666666,27.424000000000003,14.1,24.166666666666668,4.5,18.3,26.5,23.0
2016,California,21.4,"9,124",15.2,13.4,17.3,8.020689655172413,23.51034482758621,8.0,17.28448275862069,2.5,14.0,22.8,26.1
2016,Colorado,16.2,938,9.5,7.8,11.6,6.9078125,21.56875,5.7,15.703125,1.5,9.2,16.0,15.3
2016,Connecticut,14.9,699,16.2,13.2,19.6,7.5375,25.85,6.6,18.3125,2.3,12.2,21.9,20.0
2016,Delaware,17.0,203,14.9,10.8,20.3,10.066666666666666,31.366666666666664,10.2,26.066666666666663,2.3,13.6,23.3,21.1
2016,Florida,19.5,"5,782",15,13.1,17.2,9.91641791044776,29.43880597014925,10.1,27.33432835820896,3.4,13.4,24.2,22.5
2016,Georgia,21.2,"2,238",16.5,13.4,20.1,8.778616352201258,23.233962264150943,14.7,19.349056603773583,3.1,17.1,26.7,27.9
2016,Hawaii,15.1,285,14.7,10.2,20.5,8.4,21.94,8.0,17.580000000000002,3.4,14.4,19.5,20.5
2016,Idaho,19.8,375,12.7,9.3,17.1,7.665909090909091,25.897727272727277,6.9,18.59090909090909,2.0,11.3,21.2,21.5
2016,Illinois,18.7,"2,781",17,13.6,21.2,7.625490196078431,22.754901960784316,9.2,17.07156862745098,2.6,14.3,20.4,25.5
2016,Indiana,26.0,"1,992",14.9,12.4,17.9,8.71304347826087,28.08478260869565,10.3,21.792391304347827,3.4,15.4,24.9,22.2
2016,Iowa,20.9,847,9.7,7.3,12.7,7.756565656565656,27.09090909090909,7.9,19.505050505050505,2.1,11.2,22.4,20.0
2016,Kansas,21.2,727,10.5,8.5,12.8,8.011428571428572,28.122857142857143,8.5,21.026666666666667,2.2,12.2,22.3,21.1
2016,Kentucky,28.4,"1,479",14.9,12.2,18,9.096666666666666,28.319166666666668,11.4,23.140833333333333,4.8,16.4,27.0,23.3
2016,Louisiana,25.5,"1,324",15.7,12.7,19.3,9.778125,29.28125,14.1,23.61875,2.3,17.0,28.2,28.4
2016,Maine,23.9,463,12.7,9.1,17.5,7.875,29.2125,7.4,18.90625,2.1,12.9,19.8,21.4
2016,Maryland,19.6,"1,358",15.7,12.8,19.2,9.816666666666666,31.825000000000003,8.7,22.45,3.2,13.6,24.8,22.0
2016,Massachusetts,14.9,"1,268",14.8,11.3,19.1,7.942857142857142,23.842857142857145,6.2,18.064285714285717,2.4,11.3,21.9,20.2
2016,Michigan,21.5,"2,672",14.1,11.6,17.1,8.35301204819277,27.59518072289157,8.8,19.13132530120482,3.1,14.5,22.9,21.1
2016,Minnesota,19.2,"1,265",13,10.8,15.7,7.562068965517241,27.4816091954023,7.5,18.417241379310344,2.1,10.6,19.2,19.4
2016,Mississippi,31.9,"1,084",17.2,14,20.9,10.251219512195124,28.99878048780488,14.5,25.38658536585365,4.5,18.5,27.7,24.7
2016,Missouri,20.1,"1,508",14.7,11.2,19.1,8.458260869565217,25.851304347826087,10.8,20.38347826086957,3.6,14.1,25.1,23.6
2016,Montana,23.6,311,9.6,6.1,14.6,7.553571428571429,24.34464285714285,7.1,18.410714285714285,1.6,10.5,16.5,17.4
